,MeerMittwoch,ThrowbackThursday,ThursdayFiveList,ceasefire,donnerstag,doorsday,euphemismsbykids,falling,framework,grundsicherung,krasznahorkai,laszlokrasznahorkai,musiquinta,reckless,tbt,tvcharactersforgive,waffle1357
July-09,32.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
July-10,2.0,62.0,50.0,14.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,21.0,0.0,0.0
July-11,0.0,5.0,3.0,10.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
July-12,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July-13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-14,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-15,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-16,35.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
July-17,2.0,74.0,43.0,8.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0
July-18,0.0,10.0,0.0,18.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
July-19,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July-20,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July-21,0.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
July-22,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July-23,30.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
July-24,1.0,56.0,64.0,14.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0
July-25,1.0,8.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
July-26,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-27,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-28,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July-29,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-30,30.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July-31,3.0,59.0,46.0,24.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0
